s,x,y,yaw,curvature
0.0,-0.24377633899604798,148.0445982810207,-0.004158378538116829,0.0035315966826339803
1.0,0.7637019190930591,148.04216745321878,-0.0007006973345364891,0.0033319939266582273
2.0,1.770031367980253,148.04311551541437,0.0025510495301108186,0.0031301998744426717
3.0,2.775281212742505,148.04722733206714,0.00559543952495382,0.0029263666679628653
4.0,3.7795206584567853,148.05428776763662,0.008431154152172392,0.0027206435839964515
5.0,4.78281891020007,148.06408168658243,0.011056976505384723,0.002513177059405842
6.0,5.785245173049323,148.0763939533641,0.013471788910512025,0.002304110752779589
7.0,6.786868652081522,148.09100943244113,0.01567457066923806,0.002093585640141074
8.0,7.787758552373635,148.10771298827325,0.01766439592373511,0.001881740142328529
9.0,8.787984079002635,148.12628948531992,0.019440431659855012,0.0016687102815660319
10.0,9.787614437045491,148.14652378804072,0.0210019358644921,0.0014546298646788505
11.0,10.78671883157918,148.16820076089522,0.02234825585132026,0.001239630690355077
12.0,11.785366467680666,148.19110526834297,0.023478826767595072,0.0010238427778167813
13.0,12.783626550426925,148.2150221748436,0.02439317029319799,0.0008073946142351695
14.0,13.781568284894925,148.2397363448566,0.025090893541585085,0.0005904134182033374
15.0,14.779260876161642,148.2650326428416,0.02557168817079058,0.00037302541656511517
16.0,15.776773529304045,148.29069593325815,0.02583532971112545,0.00015535613188739835
17.0,16.77417544939911,148.31651108056582,0.02588167711470398,-6.246932214527609e-05
18.0,17.771535841523793,148.34226294922414,0.02571067253042548,-0.00028032594014244094
19.0,18.768923910755085,148.36773640369273,0.0253223413065333,-0.0004980885219612001
20.0,19.766408862169943,148.39271630843115,0.02471679222136691,-0.0007156313699441374
21.0,20.764059900845346,148.41698752789893,0.023894217941413866,-0.0009328279891918165
22.0,21.761946231858264,148.44033492655575,0.022854895704254245,-0.0011495507936279416
23.0,22.760137060285665,148.46254336886102,0.02159918822246972,-0.0013656708206230565
24.0,23.758701591204527,148.4833977192744,0.020127544803060865,-0.0015810574569495677
25.0,24.757709029691817,148.50268284225547,0.018440502675378573,-0.0017955781788458653
26.0,25.757228580824503,148.52018360226373,0.016538688519028708,-0.0020090983089688956
27.0,26.75732944967956,148.5356848637588,0.014422820181652772,-0.002221480793011014
28.0,27.75808084133396,148.54897149120023,0.01209370857492398,-0.002432585998746417
29.0,28.759551960864677,148.55982834904762,0.00955225973552889,-0.002642271540252433
30.0,29.761812013348678,148.56804030176053,0.0067994770363339506,-0.0028503921300192256
31.0,30.764930203862928,148.57339221379846,0.003836463531368998,-0.0030567994616151994
32.0,31.76893600007279,148.57554278850594,0.00010567762318360765,-0.004912308493584562
33.0,32.77340948868094,148.57272400310083,-0.006163410694861342,-0.007572374859767304
34.0,33.777646690782554,148.56226596343225,-0.01511253498248225,-0.01025431556715258
35.0,34.78093914939074,148.54148455802098,-0.026762232717142228,-0.01297059821652351
